scale,nested,threads,seconds,input_bytes,output_bytes,speedup_vs_t1
full,1,1,225.9384,11214167,22392170,1.0000
full,1,2,243.9533,11214167,23388929,0.9262
full,1,4,246.6223,11214167,23388932,0.9161
full,2,1,459.6311,22447552,44784110,1.0000
full,2,2,293.3497,22447552,46777631,1.5668
full,2,4,300.5458,22447552,46777632,1.5293
full,4,1,895.7263,44899053,89567985,1.0000
full,4,2,568.2429,44899053,93555031,1.5763
full,4,4,400.4403,44899053,93555027,2.2369
full,10,1,2350.5572,112226648,223919596,1.0000
full,10,2,2756.3041,112226648,233887214,0.8528
full,10,4,1147.0360,112226648,233887206,2.0492
